dt,LandAverageTemperature,LandMaxTemperature,LandMinTemperature,LandAndOceanAverageTemperature,,,,
01-12-1989,4.43,9.802,-0.807,14.058,,,,
01-01-1990,3.243,8.557,-1.939,13.891,,,,
01-02-1990,3.643,9.225,-1.795,14.143,,,,
01-03-1990,6.73,12.658,1.036,15.005,,,,
01-04-1990,9.169,15.058,3.373,15.683,,,,
01-05-1990,11.831,17.642,6.086,16.397,,,,
01-06-1990,13.893,19.786,8.167,16.995,,,,
01-07-1990,14.784,20.401,9.158,17.246,,,,
01-08-1990,14.095,19.956,8.514,17.11,,,,
01-09-1990,12.195,17.993,6.597,16.465,,,,
01-10-1990,9.882,15.72,4.285,15.747,,,,
01-11-1990,6.92,12.561,1.345,14.77,,,,
01-12-1990,4.425,9.935,-0.922,14.1,,,,
01-01-1991,3.195,8.506,-1.907,13.859,,,,
01-02-1991,4.044,9.774,-1.499,14.201,,,,
01-03-1991,5.574,11.411,-0.129,14.689,,,,
01-04-1991,9.226,15.123,3.414,15.716,,,,
01-05-1991,11.616,17.441,6.009,16.37,,,,
01-06-1991,14.263,19.903,8.509,17.052,,,,
01-07-1991,14.987,20.643,9.273,17.348,,,,
01-08-1991,14.319,20.036,8.61,17.163,,,,
01-09-1991,12.677,18.539,7.004,16.572,,,,
01-10-1991,9.753,15.553,4.122,15.619,,,,
01-11-1991,6.44,11.862,1.121,14.607,,,,
01-12-1991,4.059,9.284,-1.061,13.98,,,,
01-01-1992,3.579,8.914,-1.655,13.961,,,,
01-02-1992,3.931,9.491,-1.595,14.181,,,,
01-03-1992,5.952,11.692,0.253,14.771,,,,
01-04-1992,8.572,14.366,2.785,15.51,,,,
01-05-1992,11.535,17.346,5.796,16.319,,,,
01-06-1992,13.576,19.36,7.818,16.886,,,,
01-07-1992,14.139,19.853,8.421,17.001,,,,
01-08-1992,13.766,19.435,8.131,16.9,,,,
01-09-1992,11.672,17.289,6.132,16.243,,,,
01-10-1992,9.353,15.152,3.676,15.419,,,,
01-11-1992,5.889,11.303,0.463,14.343,,,,
01-12-1992,4.075,9.455,-1.063,13.902,,,,
01-01-1993,3.301,8.666,-1.919,13.896,,,,
01-02-1993,3.745,9.42,-1.744,14.085,,,,
01-03-1993,5.923,11.791,0.141,14.725,,,,
01-04-1993,8.69,14.585,2.823,15.482,,,,
01-05-1993,11.475,17.289,5.674,16.231,,,,
01-06-1993,13.518,19.292,7.767,16.859,,,,
01-07-1993,14.595,20.228,8.947,17.155,,,,
01-08-1993,13.835,19.584,8.228,16.926,,,,
01-09-1993,11.93,17.639,6.287,16.381,,,,
01-10-1993,9.614,15.294,3.987,15.543,,,,
01-11-1993,5.738,11.091,0.363,14.41,,,,
01-12-1993,4.035,9.358,-1.139,13.904,,,,
01-01-1994,3.024,8.336,-2.274,13.731,,,,
01-02-1994,2.81,8.594,-2.768,13.773,,,,
01-03-1994,5.731,11.663,-0.131,14.713,,,,
01-04-1994,9.018,14.961,3.162,15.584,,,,
01-05-1994,11.684,17.582,5.682,16.348,,,,
01-06-1994,14.144,19.932,8.288,17.021,,,,
01-07-1994,14.658,20.421,8.947,17.183,,,,
01-08-1994,13.977,19.808,8.274,17.036,,,,
01-09-1994,12.516,18.335,6.821,16.498,,,,
01-10-1994,10.002,15.606,4.543,15.743,,,,
01-11-1994,6.788,12.2,1.311,14.754,,,,
01-12-1994,4.113,9.313,-1.102,14.036,,,,
01-01-1995,3.54,8.895,-1.769,13.945,,,,
01-02-1995,4.656,10.257,-0.879,14.388,,,,
01-03-1995,5.956,11.784,0.265,14.783,,,,
01-04-1995,8.972,14.839,3.162,15.587,,,,
01-05-1995,11.57,17.301,5.758,16.279,,,,
01-06-1995,14.164,20.115,8.232,17.008,,,,
01-07-1995,15.116,20.803,9.331,17.375,,,,
01-08-1995,14.636,20.409,8.808,17.297,,,,
01-09-1995,12.565,18.382,6.921,16.58,,,,
01-10-1995,10.106,15.749,4.49,15.748,,,,
01-11-1995,6.761,12.387,1.266,14.713,,,,
01-12-1995,4.123,9.396,-1.143,13.951,,,,
01-01-1996,2.862,8.351,-2.512,13.721,,,,
01-02-1996,4.012,9.769,-1.762,14.207,,,,
01-03-1996,5.524,11.411,-0.285,14.658,,,,
01-04-1996,8.679,14.471,2.717,15.541,,,,
01-05-1996,11.588,17.437,5.792,16.272,,,,
01-06-1996,13.681,19.405,7.854,16.847,,,,
01-07-1996,14.827,20.65,9.123,17.22,,,,
01-08-1996,14.603,20.416,8.918,17.21,,,,
01-09-1996,12.294,17.974,6.711,16.444,,,,
01-10-1996,9.525,15.191,3.929,15.516,,,,
01-11-1996,6.547,11.952,1.178,14.607,,,,
01-12-1996,4.325,9.82,-1.089,14.053,,,,
01-01-1997,3.165,8.588,-2.134,13.818,,,,
01-02-1997,3.766,9.456,-1.885,14.178,,,,
01-03-1997,6.012,11.808,0.19,14.873,,,,
01-04-1997,8.891,14.817,2.967,15.634,,,,
01-05-1997,11.593,17.378,5.802,16.388,,,,
01-06-1997,14.131,19.913,8.334,17.158,,,,
01-07-1997,14.565,20.26,8.825,17.307,,,,
01-08-1997,14.256,20.13,8.579,17.266,,,,
01-09-1997,12.685,18.555,6.973,16.766,,,,
01-10-1997,10.109,15.682,4.665,15.935,,,,
01-11-1997,6.841,12.195,1.503,14.952,,,,
01-12-1997,4.417,9.634,-0.737,14.291,,,,
01-01-1998,3.352,8.555,-1.776,14.063,,,,
01-02-1998,4.826,10.475,-0.768,14.611,,,,
01-03-1998,6.023,11.888,0.301,14.958,,,,
01-04-1998,9.358,15.255,3.439,15.884,,,,
01-05-1998,12.291,18.182,6.372,16.671,,,,
01-06-1998,14.521,20.404,8.778,17.289,,,,
01-07-1998,15.34,20.972,9.715,17.609,,,,
01-08-1998,14.874,20.505,9.344,17.491,,,,
01-09-1998,12.673,18.336,7.152,16.657,,,,
01-10-1998,9.941,15.506,4.45,15.768,,,,
01-11-1998,6.404,11.872,1.039,14.697,,,,
01-12-1998,4.669,10.083,-0.656,14.214,,,,
01-01-1999,3.544,8.877,-1.732,13.933,,,,
01-02-1999,4.694,10.4,-0.957,14.367,,,,
01-03-1999,5.53,11.4,-0.274,14.676,,,,
01-04-1999,8.838,14.807,2.931,15.572,,,,
01-05-1999,11.706,17.613,5.824,16.298,,,,
01-06-1999,14.031,19.831,8.205,16.957,,,,
01-07-1999,14.853,20.578,9.24,17.218,,,,
01-08-1999,14.348,20.158,8.696,17.1,,,,
01-09-1999,12.723,18.472,7.109,16.605,,,,
01-10-1999,9.997,15.583,4.491,15.675,,,,
01-11-1999,6.592,12.121,1.107,14.673,,,,
01-12-1999,4.565,9.953,-0.692,14.13,,,,
01-01-2000,2.95,8.349,-2.322,13.773,,,,
01-02-2000,4.184,9.863,-1.371,14.266,,,,
01-03-2000,6.219,12.205,0.376,14.846,,,,
01-04-2000,9.552,15.534,3.68,15.762,,,,
01-05-2000,11.874,17.721,5.997,16.395,,,,
01-06-2000,14.06,19.847,8.243,17,,,,
01-07-2000,14.848,20.665,9.098,17.242,,,,
01-08-2000,14.519,20.308,8.796,17.243,,,,
01-09-2000,12.547,18.373,6.822,16.613,,,,
01-10-2000,9.486,15.069,4,15.588,,,,
01-11-2000,6.312,11.67,0.996,14.632,,,,
01-12-2000,3.863,9.182,-1.333,13.968,,,,
01-01-2001,3.336,8.827,-2.078,13.936,,,,
01-02-2001,3.72,9.486,-1.997,14.179,,,,
01-03-2001,6.208,12.131,0.411,14.982,,,,
01-04-2001,9.245,15.174,3.234,15.808,,,,
01-05-2001,12.271,18.185,6.35,16.569,,,,
01-06-2001,14.11,19.962,8.218,17.151,,,,
01-07-2001,15.161,20.923,9.428,17.45,,,,
01-08-2001,14.427,20.332,8.664,17.294,,,,
01-09-2001,12.736,18.581,7.07,16.758,,,,
01-10-2001,9.935,15.578,4.353,15.831,,,,
01-11-2001,7.319,12.89,1.92,15.011,,,,
01-12-2001,4.507,9.841,-0.685,14.241,,,,
01-01-2002,4.026,9.459,-1.322,14.258,,,,
01-02-2002,4.704,10.435,-0.948,14.505,,,,
01-03-2002,6.772,12.775,0.894,15.198,,,,
01-04-2002,9.229,15.146,3.308,15.818,,,,
01-05-2002,12.248,18.157,6.199,16.605,,,,
01-06-2002,14.084,19.912,8.184,17.11,,,,
01-07-2002,15.354,21.199,9.409,17.487,,,,
01-08-2002,14.56,20.444,8.807,17.328,,,,
01-09-2002,12.95,18.785,7.16,16.799,,,,
01-10-2002,9.988,15.599,4.484,15.859,,,,
01-11-2002,6.892,12.48,1.389,14.856,,,,
01-12-2002,4.038,9.357,-1.189,14.127,,,,
01-01-2003,3.981,9.558,-1.481,14.207,,,,
01-02-2003,4.085,9.749,-1.48,14.359,,,,
01-03-2003,6.048,11.972,0.215,14.973,,,,
01-04-2003,9.154,15.033,3.209,15.774,,,,
01-05-2003,12.153,18.118,6.208,16.567,,,,
01-06-2003,14.017,19.77,8.222,17.104,,,,
01-07-2003,14.983,20.757,9.223,17.423,,,,
01-08-2003,14.691,20.48,8.974,17.402,,,,
01-09-2003,12.911,18.692,7.221,16.839,,,,
01-10-2003,10.424,16.115,4.74,15.997,,,,
01-11-2003,6.727,12.203,1.347,14.838,,,,
01-12-2003,5.133,10.545,-0.179,14.436,,,,
01-01-2004,3.525,8.901,-1.65,14.097,,,,
01-02-2004,4.499,10.171,-1.182,14.488,,,,
01-03-2004,6.321,12.275,0.376,14.992,,,,
01-04-2004,9.249,15.132,3.285,15.811,,,,
01-05-2004,11.571,17.296,5.707,16.383,,,,
01-06-2004,13.889,19.66,8.035,17.006,,,,
01-07-2004,14.312,20.087,8.624,17.227,,,,
01-08-2004,14.188,20.011,8.382,17.266,,,,
01-09-2004,12.642,18.451,6.907,16.745,,,,
01-10-2004,10.127,15.843,4.511,15.889,,,,
01-11-2004,7.315,12.796,1.91,15.022,,,,
01-12-2004,4.257,9.593,-0.932,14.161,,,,
01-01-2005,3.808,9.026,-1.377,14.159,,,,
01-02-2005,3.92,9.508,-1.534,14.293,,,,
01-03-2005,6.544,12.316,0.813,15.106,,,,
01-04-2005,9.618,15.551,3.697,15.978,,,,
01-05-2005,12.226,17.995,6.392,16.629,,,,
01-06-2005,14.476,20.104,8.863,17.248,,,,
01-07-2005,15.19,20.88,9.569,17.503,,,,
01-08-2005,14.51,20.25,8.934,17.375,,,,
01-09-2005,13.217,19.11,7.412,16.903,,,,
01-10-2005,10.601,16.235,5.004,16.025,,,,
01-11-2005,7.423,12.944,1.988,15.005,,,,
01-12-2005,4.878,10.279,-0.395,14.327,,,,
01-01-2006,3.286,8.617,-1.942,13.99,,,,
01-02-2006,4.43,10.124,-1.229,14.435,,,,
01-03-2006,6.329,12.239,0.56,14.966,,,,
01-04-2006,9.055,15.004,3.081,15.729,,,,
01-05-2006,11.786,17.65,5.791,16.463,,,,
01-06-2006,14.443,20.317,8.53,17.216,,,,
01-07-2006,15.042,20.905,9.288,17.419,,,,
01-08-2006,14.913,20.79,9.147,17.479,,,,
01-09-2006,12.875,18.779,7.081,16.792,,,,
01-10-2006,10.289,15.925,4.796,15.935,,,,
01-11-2006,6.955,12.448,1.518,14.931,,,,
01-12-2006,4.987,10.346,-0.243,14.407,,,,
01-01-2007,4.579,10.084,-0.818,14.417,,,,
01-02-2007,4.221,10.039,-1.503,14.408,,,,
01-03-2007,6.485,12.483,0.517,15.017,,,,
01-04-2007,9.823,15.807,3.88,15.93,,,,
01-05-2007,12.518,18.395,6.568,16.629,,,,
01-06-2007,14.309,20.223,8.37,17.168,,,,
01-07-2007,15.23,21.108,9.482,17.485,,,,
01-08-2007,14.752,20.641,9.032,17.339,,,,
01-09-2007,12.93,18.838,7.18,16.737,,,,
01-10-2007,10.332,16.134,4.609,15.867,,,,
01-11-2007,7.084,12.772,1.478,14.821,,,,
01-12-2007,4.523,9.873,-0.684,14.11,,,,
01-01-2008,2.844,8.155,-2.383,13.719,,,,
01-02-2008,3.576,9.351,-2.106,14.061,,,,
01-03-2008,6.906,12.992,0.879,15.077,,,,
01-04-2008,9.295,15.42,3.175,15.735,,,,
01-05-2008,12.054,17.989,6.053,16.497,,,,
01-06-2008,14.145,19.973,8.266,17.077,,,,
01-07-2008,15.174,21.006,9.407,17.449,,,,
01-08-2008,14.377,20.176,8.594,17.282,,,,
01-09-2008,12.802,18.629,7.116,16.757,,,,
01-10-2008,10.399,16.038,4.847,15.931,,,,
01-11-2008,7.224,12.738,1.796,14.919,,,,
01-12-2008,4.385,9.834,-0.946,14.151,,,,
01-01-2009,3.687,9.176,-1.756,14.091,,,,
01-02-2009,4.094,9.822,-1.545,14.267,,,,
01-03-2009,6.086,12.065,0.132,14.873,,,,
01-04-2009,9.367,15.377,3.32,15.819,,,,
01-05-2009,12.112,18.01,6.141,16.571,,,,
01-06-2009,14.201,20.056,8.3,17.26,,,,
01-07-2009,15.231,21.085,9.456,17.578,,,,
01-08-2009,14.655,20.577,8.855,17.427,,,,
01-09-2009,13.153,19.006,7.397,16.864,,,,
01-10-2009,10.136,15.79,4.563,15.91,,,,
01-11-2009,7.031,12.574,1.64,14.968,,,,
01-12-2009,4.31,9.661,-0.94,14.298,,,,
01-01-2010,3.737,9.245,-1.677,14.208,,,,
01-02-2010,4.399,10.034,-1.107,14.517,,,,
01-03-2010,6.738,12.669,0.796,15.223,,,,
01-04-2010,9.671,15.616,3.759,16.039,,,,
01-05-2010,12.406,18.173,6.524,16.732,,,,
01-06-2010,14.421,20.252,8.489,17.271,,,,
01-07-2010,15.213,20.97,9.551,17.532,,,,
01-08-2010,14.768,20.656,8.984,17.412,,,,
01-09-2010,12.863,18.603,7.252,16.761,,,,
01-10-2010,10.442,16.115,4.905,15.939,,,,
01-11-2010,7.487,13.168,1.95,14.995,,,,
01-12-2010,4.292,9.887,-1.139,14.117,,,,
01-01-2011,3.282,8.722,-2.034,13.928,,,,
01-02-2011,3.743,9.435,-1.906,14.193,,,,
01-03-2011,6.101,11.963,0.314,14.88,,,,
01-04-2011,9.483,15.45,3.524,15.832,,,,
01-05-2011,11.986,17.917,6.023,16.523,,,,
01-06-2011,14.37,20.231,8.48,17.203,,,,
01-07-2011,15.482,21.32,9.684,17.568,,,,
01-08-2011,15.012,20.922,9.208,17.475,,,,
01-09-2011,12.912,18.89,6.998,16.762,,,,
01-10-2011,10.352,16.075,4.85,15.873,,,,
01-11-2011,6.814,12.395,1.432,14.799,,,,
01-12-2011,4.655,10.098,-0.641,14.198,,,,
01-01-2012,3.157,8.691,-2.233,13.859,,,,
01-02-2012,3.628,9.379,-2.067,14.164,,,,
01-03-2012,6.023,12.025,0.075,14.863,,,,
01-04-2012,9.676,15.679,3.689,15.881,,,,
01-05-2012,12.59,18.611,6.461,16.699,,,,
01-06-2012,14.492,20.43,8.505,17.252,,,,
01-07-2012,15.076,21.006,9.229,17.45,,,,
01-08-2012,14.72,20.709,8.84,17.42,,,,
01-09-2012,13.04,19.074,7.176,16.882,,,,
01-10-2012,10.428,16.203,4.765,16.019,,,,
01-11-2012,7.156,12.689,1.796,15.001,,,,
01-12-2012,4.102,9.498,-1.162,14.138,,,,
