dt,AverageTemperature,Country,,,,,,,
01-12-1925,16.841,India,,,,,,,
01-01-1926,17.236,India,,,,,,,
01-02-1926,20.375,India,,,,,,,
01-03-1926,23.152,India,,,,,,,
01-04-1926,25.739,India,,,,,,,
01-05-1926,29.002,India,,,,,,,
01-06-1926,30.733,India,,,,,,,
01-07-1926,27.488,India,,,,,,,
01-08-1926,26.283,India,,,,,,,
01-09-1926,25.774,India,,,,,,,
01-10-1926,24.051,India,,,,,,,
01-11-1926,19.354,India,,,,,,,
01-12-1926,16.981,India,,,,,,,
01-01-1927,16.709,India,,,,,,,
01-02-1927,18.748,India,,,,,,,
01-03-1927,22.994,India,,,,,,,
01-04-1927,27.446,India,,,,,,,
01-05-1927,29.554,India,,,,,,,
01-06-1927,29.232,India,,,,,,,
01-07-1927,26.751,India,,,,,,,
01-08-1927,26.021,India,,,,,,,
01-09-1927,26.04,India,,,,,,,
01-10-1927,24.349,India,,,,,,,
01-11-1927,19.79,India,,,,,,,
01-12-1927,17.651,India,,,,,,,
01-01-1928,17.08,India,,,,,,,
01-02-1928,19.567,India,,,,,,,
01-03-1928,23.99,India,,,,,,,
01-04-1928,27.495,India,,,,,,,
01-05-1928,30.574,India,,,,,,,
01-06-1928,28.795,India,,,,,,,
01-07-1928,26.84,India,,,,,,,
01-08-1928,26.582,India,,,,,,,
01-09-1928,26.261,India,,,,,,,
01-10-1928,24.568,India,,,,,,,
01-11-1928,20.817,India,,,,,,,
01-12-1928,17.099,India,,,,,,,
01-01-1929,16.866,India,,,,,,,
01-02-1929,18.597,India,,,,,,,
01-03-1929,24.69,India,,,,,,,
01-04-1929,27.63,India,,,,,,,
01-05-1929,30.574,India,,,,,,,
01-06-1929,28.918,India,,,,,,,
01-07-1929,26.718,India,,,,,,,
01-08-1929,25.954,India,,,,,,,
01-09-1929,26.319,India,,,,,,,
01-10-1929,23.971,India,,,,,,,
01-11-1929,20.717,India,,,,,,,
01-12-1929,16.703,India,,,,,,,
01-01-1930,16.528,India,,,,,,,
01-02-1930,18.831,India,,,,,,,
01-03-1930,24.028,India,,,,,,,
01-04-1930,27.002,India,,,,,,,
01-05-1930,29.751,India,,,,,,,
01-06-1930,28.955,India,,,,,,,
01-07-1930,26.566,India,,,,,,,
01-08-1930,26.156,India,,,,,,,
01-09-1930,26.296,India,,,,,,,
01-10-1930,24.567,India,,,,,,,
01-11-1930,20.005,India,,,,,,,
01-12-1930,17.359,India,,,,,,,
01-01-1931,17.86,India,,,,,,,
01-02-1931,19.062,India,,,,,,,
01-03-1931,23.518,India,,,,,,,
01-04-1931,28.563,India,,,,,,,
01-05-1931,30.211,India,,,,,,,
01-06-1931,30.172,India,,,,,,,
01-07-1931,27.031,India,,,,,,,
01-08-1931,26.678,India,,,,,,,
01-09-1931,25.998,India,,,,,,,
01-10-1931,24.123,India,,,,,,,
01-11-1931,20.334,India,,,,,,,
01-12-1931,17.442,India,,,,,,,
01-01-1932,17.783,India,,,,,,,
01-02-1932,18.585,India,,,,,,,
01-03-1932,23.757,India,,,,,,,
01-04-1932,27.389,India,,,,,,,
01-05-1932,29.613,India,,,,,,,
01-06-1932,29.777,India,,,,,,,
01-07-1932,27.001,India,,,,,,,
01-08-1932,26.243,India,,,,,,,
01-09-1932,26.294,India,,,,,,,
01-10-1932,24.669,India,,,,,,,
01-11-1932,20.601,India,,,,,,,
01-12-1932,17.231,India,,,,,,,
01-01-1933,16.262,India,,,,,,,
01-02-1933,19.784,India,,,,,,,
01-03-1933,23.753,India,,,,,,,
01-04-1933,26.46,India,,,,,,,
01-05-1933,28.127,India,,,,,,,
01-06-1933,28.36,India,,,,,,,
01-07-1933,26.851,India,,,,,,,
01-08-1933,25.823,India,,,,,,,
01-09-1933,25.645,India,,,,,,,
01-10-1933,23.937,India,,,,,,,
01-11-1933,20.428,India,,,,,,,
01-12-1933,17.294,India,,,,,,,
01-01-1934,15.991,India,,,,,,,
01-02-1934,19.725,India,,,,,,,
01-03-1934,23.297,India,,,,,,,
01-04-1934,27.732,India,,,,,,,
01-05-1934,29.917,India,,,,,,,
01-06-1934,28.853,India,,,,,,,
01-07-1934,26.77,India,,,,,,,
01-08-1934,26.026,India,,,,,,,
01-09-1934,26.073,India,,,,,,,
01-10-1934,23.767,India,,,,,,,
01-11-1934,19.761,India,,,,,,,
01-12-1934,17.297,India,,,,,,,
01-01-1935,15.888,India,,,,,,,
01-02-1935,19.379,India,,,,,,,
01-03-1935,23.618,India,,,,,,,
01-04-1935,25.859,India,,,,,,,
01-05-1935,30.518,India,,,,,,,
01-06-1935,29.711,India,,,,,,,
01-07-1935,26.714,India,,,,,,,
01-08-1935,25.858,India,,,,,,,
01-09-1935,25.639,India,,,,,,,
01-10-1935,24.042,India,,,,,,,
01-11-1935,20.556,India,,,,,,,
01-12-1935,17.36,India,,,,,,,
01-01-1936,16.589,India,,,,,,,
01-02-1936,19.189,India,,,,,,,
01-03-1936,23.562,India,,,,,,,
01-04-1936,27.229,India,,,,,,,
01-05-1936,30.41,India,,,,,,,
01-06-1936,27.68,India,,,,,,,
01-07-1936,26.706,India,,,,,,,
01-08-1936,26.211,India,,,,,,,
01-09-1936,26.074,India,,,,,,,
01-10-1936,24.151,India,,,,,,,
01-11-1936,20.903,India,,,,,,,
01-12-1936,17.314,India,,,,,,,
01-01-1937,16.143,India,,,,,,,
01-02-1937,19.608,India,,,,,,,
01-03-1937,22.893,India,,,,,,,
01-04-1937,26.327,India,,,,,,,
01-05-1937,29.823,India,,,,,,,
01-06-1937,29.554,India,,,,,,,
01-07-1937,26.657,India,,,,,,,
01-08-1937,26.477,India,,,,,,,
01-09-1937,26.214,India,,,,,,,
01-10-1937,23.794,India,,,,,,,
01-11-1937,20.539,India,,,,,,,
01-12-1937,16.466,India,,,,,,,
01-01-1938,17.305,India,,,,,,,
01-02-1938,18.346,India,,,,,,,
01-03-1938,24.786,India,,,,,,,
01-04-1938,28.108,India,,,,,,,
01-05-1938,30.312,India,,,,,,,
01-06-1938,27.459,India,,,,,,,
01-07-1938,26.655,India,,,,,,,
01-08-1938,26.361,India,,,,,,,
01-09-1938,26.284,India,,,,,,,
01-10-1938,24.36,India,,,,,,,
01-11-1938,19.572,India,,,,,,,
01-12-1938,17.155,India,,,,,,,
01-01-1939,17.484,India,,,,,,,
01-02-1939,19.606,India,,,,,,,
01-03-1939,22.512,India,,,,,,,
01-04-1939,26.9,India,,,,,,,
01-05-1939,30.429,India,,,,,,,
01-06-1939,28.862,India,,,,,,,
01-07-1939,26.785,India,,,,,,,
01-08-1939,26.702,India,,,,,,,
01-09-1939,26.148,India,,,,,,,
01-10-1939,24.775,India,,,,,,,
01-11-1939,20.425,India,,,,,,,
01-12-1939,17.291,India,,,,,,,
01-01-1940,16.722,India,,,,,,,
01-02-1940,19.296,India,,,,,,,
01-03-1940,22.363,India,,,,,,,
01-04-1940,26.928,India,,,,,,,
01-05-1940,30.061,India,,,,,,,
01-06-1940,29.209,India,,,,,,,
01-07-1940,26.86,India,,,,,,,
01-08-1940,26.046,India,,,,,,,
01-09-1940,26.077,India,,,,,,,
01-10-1940,24.615,India,,,,,,,
01-11-1940,21.33,India,,,,,,,
01-12-1940,17.32,India,,,,,,,
01-01-1941,16.932,India,,,,,,,
01-02-1941,19.978,India,,,,,,,
01-03-1941,25.153,India,,,,,,,
01-04-1941,28.997,India,,,,,,,
01-05-1941,30.595,India,,,,,,,
01-06-1941,29.106,India,,,,,,,
01-07-1941,27.493,India,,,,,,,
01-08-1941,26.872,India,,,,,,,
01-09-1941,26.452,India,,,,,,,
01-10-1941,25.358,India,,,,,,,
01-11-1941,20.846,India,,,,,,,
01-12-1941,18.309,India,,,,,,,
01-01-1942,16.664,India,,,,,,,
01-02-1942,19.789,India,,,,,,,
01-03-1942,24.535,India,,,,,,,
01-04-1942,28.23,India,,,,,,,
01-05-1942,30.642,India,,,,,,,
01-06-1942,30.039,India,,,,,,,
01-07-1942,26.631,India,,,,,,,
01-08-1942,25.974,India,,,,,,,
01-09-1942,25.663,India,,,,,,,
01-10-1942,24.346,India,,,,,,,
01-11-1942,20.919,India,,,,,,,
01-12-1942,17.094,India,,,,,,,
01-01-1943,17.534,India,,,,,,,
01-02-1943,18.873,India,,,,,,,
01-03-1943,24.052,India,,,,,,,
01-04-1943,26.655,India,,,,,,,
01-05-1943,29.941,India,,,,,,,
01-06-1943,28.726,India,,,,,,,
01-07-1943,26.638,India,,,,,,,
01-08-1943,25.807,India,,,,,,,
01-09-1943,25.931,India,,,,,,,
01-10-1943,24.076,India,,,,,,,
01-11-1943,21.077,India,,,,,,,
01-12-1943,17.552,India,,,,,,,
01-01-1944,16.725,India,,,,,,,
01-02-1944,18.788,India,,,,,,,
01-03-1944,22.7,India,,,,,,,
01-04-1944,26.484,India,,,,,,,
01-05-1944,30.657,India,,,,,,,
01-06-1944,29.248,India,,,,,,,
01-07-1944,26.608,India,,,,,,,
01-08-1944,26.276,India,,,,,,,
01-09-1944,25.992,India,,,,,,,
01-10-1944,23.954,India,,,,,,,
01-11-1944,20.681,India,,,,,,,
01-12-1944,18.062,India,,,,,,,
01-01-1945,15.918,India,,,,,,,
01-02-1945,18.778,India,,,,,,,
01-03-1945,24.102,India,,,,,,,
01-04-1945,26.543,India,,,,,,,
01-05-1945,29.869,India,,,,,,,
01-06-1945,29.652,India,,,,,,,
01-07-1945,26.747,India,,,,,,,
01-08-1945,26.475,India,,,,,,,
01-09-1945,25.905,India,,,,,,,
01-10-1945,23.807,India,,,,,,,
01-11-1945,20.12,India,,,,,,,
01-12-1945,16.143,India,,,,,,,
01-01-1946,16.905,India,,,,,,,
01-02-1946,20.413,India,,,,,,,
01-03-1946,23.832,India,,,,,,,
01-04-1946,27.86,India,,,,,,,
01-05-1946,29.843,India,,,,,,,
01-06-1946,28.625,India,,,,,,,
01-07-1946,26.767,India,,,,,,,
01-08-1946,26.177,India,,,,,,,
01-09-1946,26.045,India,,,,,,,
01-10-1946,24.643,India,,,,,,,
01-11-1946,20.712,India,,,,,,,
01-12-1946,17.791,India,,,,,,,
01-01-1947,16.861,India,,,,,,,
01-02-1947,19.518,India,,,,,,,
01-03-1947,24.311,India,,,,,,,
01-04-1947,28.103,India,,,,,,,
01-05-1947,30.586,India,,,,,,,
01-06-1947,30.128,India,,,,,,,
01-07-1947,27.14,India,,,,,,,
01-08-1947,26.673,India,,,,,,,
01-09-1947,25.805,India,,,,,,,
01-10-1947,23.524,India,,,,,,,
01-11-1947,20.986,India,,,,,,,
01-12-1947,17.719,India,,,,,,,
01-01-1948,17.289,India,,,,,,,
01-02-1948,19.3,India,,,,,,,
01-03-1948,23.455,India,,,,,,,
01-04-1948,28.277,India,,,,,,,
01-05-1948,30.765,India,,,,,,,
01-06-1948,29.748,India,,,,,,,
01-07-1948,26.999,India,,,,,,,
01-08-1948,26.161,India,,,,,,,
01-09-1948,25.975,India,,,,,,,
01-10-1948,24.611,India,,,,,,,
01-11-1948,20.874,India,,,,,,,
01-12-1948,16.826,India,,,,,,,
01-01-1949,17.703,India,,,,,,,
01-02-1949,19.189,India,,,,,,,
01-03-1949,24.296,India,,,,,,,
01-04-1949,27.935,India,,,,,,,
01-05-1949,30.044,India,,,,,,,
01-06-1949,28.988,India,,,,,,,
01-07-1949,26.817,India,,,,,,,
01-08-1949,26.383,India,,,,,,,
01-09-1949,26.235,India,,,,,,,
01-10-1949,24.559,India,,,,,,,
01-11-1949,19.68,India,,,,,,,
01-12-1949,16.738,India,,,,,,,
01-01-1950,17.318,India,,,,,,,
01-02-1950,18.305,India,,,,,,,
01-03-1950,22.933,India,,,,,,,
01-04-1950,27.13,India,,,,,,,
01-05-1950,30.267,India,,,,,,,
01-06-1950,29.23,India,,,,,,,
01-07-1950,26.582,India,,,,,,,
01-08-1950,26.194,India,,,,,,,
01-09-1950,25.711,India,,,,,,,
01-10-1950,23.842,India,,,,,,,
01-11-1950,19.818,India,,,,,,,
01-12-1950,16.582,India,,,,,,,
01-01-1951,16.331,India,,,,,,,
01-02-1951,19.315,India,,,,,,,
01-03-1951,23.841,India,,,,,,,
01-04-1951,26.345,India,,,,,,,
01-05-1951,29.826,India,,,,,,,
01-06-1951,29.103,India,,,,,,,
01-07-1951,27.47,India,,,,,,,
01-08-1951,26.548,India,,,,,,,
01-09-1951,26.762,India,,,,,,,
01-10-1951,26.005,India,,,,,,,
01-11-1951,21.601,India,,,,,,,
01-12-1951,17.501,India,,,,,,,
01-01-1952,17.707,India,,,,,,,
01-02-1952,20.749,India,,,,,,,
01-03-1952,23.39,India,,,,,,,
01-04-1952,28.295,India,,,,,,,
01-05-1952,30.426,India,,,,,,,
01-06-1952,29.302,India,,,,,,,
01-07-1952,27.036,India,,,,,,,
01-08-1952,26.085,India,,,,,,,
01-09-1952,26.315,India,,,,,,,
01-10-1952,24.624,India,,,,,,,
01-11-1952,20.51,India,,,,,,,
01-12-1952,17.947,India,,,,,,,
01-01-1953,16.733,India,,,,,,,
01-02-1953,20.812,India,,,,,,,
01-03-1953,25.969,India,,,,,,,
01-04-1953,28.049,India,,,,,,,
01-05-1953,30.717,India,,,,,,,
01-06-1953,29.89,India,,,,,,,
01-07-1953,26.922,India,,,,,,,
01-08-1953,26.251,India,,,,,,,
01-09-1953,26.126,India,,,,,,,
01-10-1953,24.296,India,,,,,,,
01-11-1953,20.544,India,,,,,,,
01-12-1953,18.43,India,,,,,,,
01-01-1954,16.445,India,,,,,,,
01-02-1954,20.633,India,,,,,,,
01-03-1954,24.173,India,,,,,,,
01-04-1954,28.436,India,,,,,,,
01-05-1954,30.921,India,,,,,,,
01-06-1954,29.378,India,,,,,,,
01-07-1954,26.932,India,,,,,,,
01-08-1954,26.603,India,,,,,,,
01-09-1954,25.871,India,,,,,,,
01-10-1954,23.112,India,,,,,,,
01-11-1954,20.084,India,,,,,,,
01-12-1954,17.418,India,,,,,,,
01-01-1955,17.075,India,,,,,,,
01-02-1955,20.014,India,,,,,,,
01-03-1955,25.048,India,,,,,,,
01-04-1955,26.636,India,,,,,,,
01-05-1955,29.526,India,,,,,,,
01-06-1955,29.15,India,,,,,,,
01-07-1955,26.999,India,,,,,,,
01-08-1955,26.022,India,,,,,,,
01-09-1955,26.008,India,,,,,,,
01-10-1955,23.898,India,,,,,,,
01-11-1955,19.913,India,,,,,,,
01-12-1955,17.137,India,,,,,,,
01-01-1956,17.035,India,,,,,,,
01-02-1956,19.273,India,,,,,,,
01-03-1956,24.437,India,,,,,,,
01-04-1956,28.282,India,,,,,,,
01-05-1956,30.411,India,,,,,,,
01-06-1956,28.155,India,,,,,,,
01-07-1956,25.997,India,,,,,,,
01-08-1956,25.901,India,,,,,,,
01-09-1956,26.001,India,,,,,,,
01-10-1956,23.629,India,,,,,,,
01-11-1956,20.167,India,,,,,,,
01-12-1956,17.508,India,,,,,,,
01-01-1957,17.035,India,,,,,,,
01-02-1957,18.576,India,,,,,,,
01-03-1957,22.721,India,,,,,,,
01-04-1957,27.015,India,,,,,,,
01-05-1957,29.611,India,,,,,,,
01-06-1957,29.478,India,,,,,,,
01-07-1957,27.105,India,,,,,,,
01-08-1957,26.495,India,,,,,,,
01-09-1957,26.213,India,,,,,,,
01-10-1957,24.596,India,,,,,,,
01-11-1957,21.349,India,,,,,,,
01-12-1957,18.123,India,,,,,,,
01-01-1958,18.31,India,,,,,,,
01-02-1958,19.862,India,,,,,,,
01-03-1958,24.626,India,,,,,,,
01-04-1958,28.768,India,,,,,,,
01-05-1958,30.492,India,,,,,,,
01-06-1958,30.656,India,,,,,,,
01-07-1958,27.074,India,,,,,,,
01-08-1958,26.62,India,,,,,,,
01-09-1958,26.056,India,,,,,,,
01-10-1958,24.456,India,,,,,,,
01-11-1958,21.192,India,,,,,,,
01-12-1958,18.004,India,,,,,,,
01-01-1959,17.45,India,,,,,,,
01-02-1959,19.402,India,,,,,,,
01-03-1959,24.544,India,,,,,,,
01-04-1959,28.041,India,,,,,,,
01-05-1959,30.207,India,,,,,,,
01-06-1959,29.347,India,,,,,,,
01-07-1959,26.647,India,,,,,,,
01-08-1959,26.261,India,,,,,,,
01-09-1959,26.001,India,,,,,,,
01-10-1959,24.64,India,,,,,,,
01-11-1959,20.762,India,,,,,,,
01-12-1959,17.9,India,,,,,,,
01-01-1960,16.885,India,,,,,,,
01-02-1960,20.962,India,,,,,,,
01-03-1960,23.285,India,,,,,,,
01-04-1960,27.488,India,,,,,,,
01-05-1960,30.185,India,,,,,,,
01-06-1960,29.581,India,,,,,,,
01-07-1960,27.091,India,,,,,,,
01-08-1960,26.53,India,,,,,,,
01-09-1960,26.517,India,,,,,,,
01-10-1960,24.382,India,,,,,,,
01-11-1960,20.403,India,,,,,,,
01-12-1960,18.137,India,,,,,,,
01-01-1961,17.514,India,,,,,,,
01-02-1961,18.335,India,,,,,,,
01-03-1961,24.665,India,,,,,,,
01-04-1961,27.743,India,,,,,,,
01-05-1961,29.963,India,,,,,,,
01-06-1961,28.716,India,,,,,,,
01-07-1961,26.677,India,,,,,,,
01-08-1961,26.462,India,,,,,,,
01-09-1961,25.882,India,,,,,,,
01-10-1961,23.896,India,,,,,,,
01-11-1961,19.907,India,,,,,,,
01-12-1961,16.023,India,,,,,,,
01-01-1962,15.838,India,,,,,,,
01-02-1962,19.62,India,,,,,,,
01-03-1962,23.545,India,,,,,,,
01-04-1962,27.634,India,,,,,,,
01-05-1962,29.728,India,,,,,,,
01-06-1962,29.275,India,,,,,,,
01-07-1962,27.299,India,,,,,,,
01-08-1962,26.316,India,,,,,,,
01-09-1962,25.816,India,,,,,,,
01-10-1962,23.673,India,,,,,,,
01-11-1962,20.493,India,,,,,,,
01-12-1962,17.38,India,,,,,,,
01-01-1963,16.554,India,,,,,,,
01-02-1963,20.342,India,,,,,,,
01-03-1963,23.609,India,,,,,,,
01-04-1963,26.827,India,,,,,,,
01-05-1963,29.309,India,,,,,,,
01-06-1963,28.943,India,,,,,,,
01-07-1963,27.324,India,,,,,,,
01-08-1963,26.209,India,,,,,,,
01-09-1963,26.146,India,,,,,,,
01-10-1963,24.631,India,,,,,,,
01-11-1963,21.437,India,,,,,,,
01-12-1963,17.818,India,,,,,,,
01-01-1964,16.468,India,,,,,,,
01-02-1964,19.665,India,,,,,,,
01-03-1964,25.022,India,,,,,,,
01-04-1964,28.314,India,,,,,,,
01-05-1964,29.573,India,,,,,,,
01-06-1964,29.097,India,,,,,,,
01-07-1964,26.491,India,,,,,,,
01-08-1964,26.171,India,,,,,,,
01-09-1964,25.911,India,,,,,,,
01-10-1964,24.587,India,,,,,,,
01-11-1964,20.232,India,,,,,,,
01-12-1964,17.315,India,,,,,,,
01-01-1965,17.907,India,,,,,,,
01-02-1965,19.505,India,,,,,,,
01-03-1965,23.14,India,,,,,,,
01-04-1965,26.503,India,,,,,,,
01-05-1965,29.366,India,,,,,,,
01-06-1965,29.666,India,,,,,,,
01-07-1965,26.834,India,,,,,,,
01-08-1965,26.313,India,,,,,,,
01-09-1965,26.041,India,,,,,,,
01-10-1965,24.829,India,,,,,,,
01-11-1965,21.368,India,,,,,,,
01-12-1965,17.619,India,,,,,,,
01-01-1966,17.543,India,,,,,,,
01-02-1966,21.076,India,,,,,,,
01-03-1966,24.008,India,,,,,,,
01-04-1966,27.748,India,,,,,,,
01-05-1966,30.114,India,,,,,,,
01-06-1966,29.15,India,,,,,,,
01-07-1966,27.668,India,,,,,,,
01-08-1966,26.49,India,,,,,,,
01-09-1966,26.096,India,,,,,,,
01-10-1966,24.621,India,,,,,,,
01-11-1966,21.457,India,,,,,,,
01-12-1966,17.292,India,,,,,,,
01-01-1967,16.668,India,,,,,,,
01-02-1967,20.594,India,,,,,,,
01-03-1967,22.982,India,,,,,,,
01-04-1967,26.908,India,,,,,,,
01-05-1967,29.777,India,,,,,,,
01-06-1967,29.481,India,,,,,,,
01-07-1967,26.967,India,,,,,,,
01-08-1967,26.023,India,,,,,,,
01-09-1967,25.871,India,,,,,,,
01-10-1967,23.98,India,,,,,,,
01-11-1967,20.492,India,,,,,,,
01-12-1967,18.162,India,,,,,,,
01-01-1968,16.341,India,,,,,,,
01-02-1968,18.659,India,,,,,,,
01-03-1968,23.477,India,,,,,,,
01-04-1968,26.827,India,,,,,,,
01-05-1968,29.368,India,,,,,,,
01-06-1968,29.21,India,,,,,,,
01-07-1968,26.948,India,,,,,,,
01-08-1968,26.311,India,,,,,,,
01-09-1968,26.786,India,,,,,,,
01-10-1968,23.995,India,,,,,,,
01-11-1968,20.794,India,,,,,,,
01-12-1968,17.661,India,,,,,,,
01-01-1969,17.129,India,,,,,,,
01-02-1969,20.236,India,,,,,,,
01-03-1969,25.479,India,,,,,,,
01-04-1969,28.122,India,,,,,,,
01-05-1969,29.537,India,,,,,,,
01-06-1969,29.708,India,,,,,,,
01-07-1969,27.086,India,,,,,,,
01-08-1969,26.273,India,,,,,,,
01-09-1969,25.968,India,,,,,,,
01-10-1969,24.706,India,,,,,,,
01-11-1969,21.852,India,,,,,,,
01-12-1969,17.918,India,,,,,,,
01-01-1970,17.4,India,,,,,,,
01-02-1970,19.679,India,,,,,,,
01-03-1970,23.807,India,,,,,,,
01-04-1970,28.212,India,,,,,,,
01-05-1970,30.42,India,,,,,,,
01-06-1970,28.263,India,,,,,,,
01-07-1970,27.102,India,,,,,,,
01-08-1970,26.246,India,,,,,,,
01-09-1970,25.975,India,,,,,,,
01-10-1970,24.582,India,,,,,,,
01-11-1970,20.204,India,,,,,,,
01-12-1970,16.999,India,,,,,,,
01-01-1971,16.778,India,,,,,,,
01-02-1971,19.526,India,,,,,,,
01-03-1971,23.577,India,,,,,,,
01-04-1971,27.642,India,,,,,,,
01-05-1971,28.794,India,,,,,,,
01-06-1971,27.651,India,,,,,,,
01-07-1971,26.391,India,,,,,,,
01-08-1971,25.901,India,,,,,,,
01-09-1971,26.05,India,,,,,,,
01-10-1971,24.049,India,,,,,,,
01-11-1971,20.125,India,,,,,,,
01-12-1971,17.124,India,,,,,,,
01-01-1972,17.132,India,,,,,,,
01-02-1972,18.156,India,,,,,,,
01-03-1972,24.385,India,,,,,,,
01-04-1972,27.132,India,,,,,,,
01-05-1972,30.29,India,,,,,,,
01-06-1972,30.242,India,,,,,,,
01-07-1972,27.55,India,,,,,,,
01-08-1972,26.532,India,,,,,,,
01-09-1972,26.145,India,,,,,,,
01-10-1972,24.411,India,,,,,,,
01-11-1972,20.974,India,,,,,,,
01-12-1972,18.317,India,,,,,,,
01-01-1973,17.62,India,,,,,,,
01-02-1973,20.866,India,,,,,,,
01-03-1973,24.178,India,,,,,,,
01-04-1973,29.166,India,,,,,,,
01-05-1973,30.69,India,,,,,,,
01-06-1973,29.277,India,,,,,,,
01-07-1973,26.986,India,,,,,,,
01-08-1973,26.093,India,,,,,,,
01-09-1973,26.002,India,,,,,,,
01-10-1973,24.209,India,,,,,,,
01-11-1973,20.516,India,,,,,,,
01-12-1973,17.036,India,,,,,,,
01-01-1974,16.738,India,,,,,,,
01-02-1974,19.245,India,,,,,,,
01-03-1974,24.923,India,,,,,,,
01-04-1974,28.495,India,,,,,,,
01-05-1974,29.697,India,,,,,,,
01-06-1974,29.101,India,,,,,,,
01-07-1974,26.961,India,,,,,,,
01-08-1974,26.479,India,,,,,,,
01-09-1974,26.544,India,,,,,,,
01-10-1974,24.768,India,,,,,,,
01-11-1974,20.471,India,,,,,,,
01-12-1974,16.687,India,,,,,,,
01-01-1975,16.257,India,,,,,,,
01-02-1975,19.372,India,,,,,,,
01-03-1975,23.703,India,,,,,,,
01-04-1975,28.273,India,,,,,,,
01-05-1975,30.431,India,,,,,,,
01-06-1975,28.879,India,,,,,,,
01-07-1975,26.416,India,,,,,,,
01-08-1975,26.195,India,,,,,,,
01-09-1975,25.576,India,,,,,,,
01-10-1975,24.676,India,,,,,,,
01-11-1975,19.646,India,,,,,,,
01-12-1975,16.922,India,,,,,,,
01-01-1976,16.913,India,,,,,,,
01-02-1976,19.725,India,,,,,,,
01-03-1976,24.028,India,,,,,,,
01-04-1976,27.148,India,,,,,,,
01-05-1976,29.785,India,,,,,,,
01-06-1976,28.542,India,,,,,,,
01-07-1976,26.897,India,,,,,,,
01-08-1976,25.791,India,,,,,,,
01-09-1976,25.841,India,,,,,,,
01-10-1976,25.04,India,,,,,,,
01-11-1976,22.473,India,,,,,,,
01-12-1976,18.212,India,,,,,,,
01-01-1977,17.035,India,,,,,,,
01-02-1977,20.25,India,,,,,,,
01-03-1977,25.44,India,,,,,,,
01-04-1977,27.388,India,,,,,,,
01-05-1977,28.856,India,,,,,,,
01-06-1977,28.768,India,,,,,,,
01-07-1977,26.619,India,,,,,,,
01-08-1977,26.285,India,,,,,,,
01-09-1977,25.927,India,,,,,,,
01-10-1977,24.633,India,,,,,,,
01-11-1977,22.308,India,,,,,,,
01-12-1977,17.958,India,,,,,,,
01-01-1978,16.64,India,,,,,,,
01-02-1978,19.077,India,,,,,,,
01-03-1978,22.812,India,,,,,,,
01-04-1978,27.576,India,,,,,,,
01-05-1978,30.939,India,,,,,,,
01-06-1978,28.742,India,,,,,,,
01-07-1978,26.344,India,,,,,,,
01-08-1978,26.008,India,,,,,,,
01-09-1978,25.846,India,,,,,,,
01-10-1978,24.696,India,,,,,,,
01-11-1978,21.694,India,,,,,,,
01-12-1978,17.714,India,,,,,,,
01-01-1979,17.828,India,,,,,,,
01-02-1979,19.082,India,,,,,,,
01-03-1979,23.214,India,,,,,,,
01-04-1979,28.217,India,,,,,,,
01-05-1979,29.686,India,,,,,,,
01-06-1979,30.009,India,,,,,,,
01-07-1979,27.479,India,,,,,,,
01-08-1979,26.629,India,,,,,,,
01-09-1979,26.475,India,,,,,,,
01-10-1979,25.165,India,,,,,,,
01-11-1979,22.516,India,,,,,,,
01-12-1979,18.343,India,,,,,,,
01-01-1980,17.593,India,,,,,,,
01-02-1980,20.495,India,,,,,,,
01-03-1980,24.071,India,,,,,,,
01-04-1980,28.968,India,,,,,,,
01-05-1980,31.054,India,,,,,,,
01-06-1980,28.638,India,,,,,,,
01-07-1980,26.887,India,,,,,,,
01-08-1980,26.356,India,,,,,,,
01-09-1980,26.529,India,,,,,,,
01-10-1980,25.015,India,,,,,,,
01-11-1980,21.517,India,,,,,,,
01-12-1980,17.994,India,,,,,,,
01-01-1981,17.067,India,,,,,,,
01-02-1981,20.37,India,,,,,,,
01-03-1981,23.57,India,,,,,,,
01-04-1981,27.894,India,,,,,,,
01-05-1981,29.998,India,,,,,,,
01-06-1981,29.792,India,,,,,,,
01-07-1981,26.82,India,,,,,,,
01-08-1981,26.405,India,,,,,,,
01-09-1981,26.406,India,,,,,,,
01-10-1981,24.626,India,,,,,,,
01-11-1981,20.366,India,,,,,,,
01-12-1981,17.427,India,,,,,,,
01-01-1982,17.866,India,,,,,,,
01-02-1982,19.358,India,,,,,,,
01-03-1982,22.928,India,,,,,,,
01-04-1982,27.155,India,,,,,,,
01-05-1982,29.069,India,,,,,,,
01-06-1982,29.306,India,,,,,,,
01-07-1982,27.911,India,,,,,,,
01-08-1982,26.397,India,,,,,,,
01-09-1982,26.444,India,,,,,,,
01-10-1982,24.975,India,,,,,,,
01-11-1982,21.074,India,,,,,,,
01-12-1982,18.136,India,,,,,,,
01-01-1983,16.758,India,,,,,,,
01-02-1983,19.091,India,,,,,,,
01-03-1983,23.603,India,,,,,,,
01-04-1983,26.473,India,,,,,,,
01-05-1983,29.619,India,,,,,,,
01-06-1983,29.762,India,,,,,,,
01-07-1983,27.492,India,,,,,,,
01-08-1983,26.625,India,,,,,,,
01-09-1983,26.238,India,,,,,,,
01-10-1983,24.043,India,,,,,,,
01-11-1983,20.182,India,,,,,,,
01-12-1983,17.37,India,,,,,,,
01-01-1984,16.993,India,,,,,,,
