dt,AverageTemperature,Country,,,,,,,
1881-04-01,27.561,India,,,,,,,
1881-05-01,29.857,India,,,,,,,
1881-06-01,28.288,India,,,,,,,
1881-07-01,26.634,India,,,,,,,
1881-08-01,25.898,India,,,,,,,
1881-09-01,25.818,India,,,,,,,
1881-10-01,24.077,India,,,,,,,
1881-11-01,19.683,India,,,,,,,
1881-12-01,16.948,India,,,,,,,
1882-01-01,17.5,India,,,,,,,
1882-02-01,18.677,India,,,,,,,
1882-03-01,24.403,India,,,,,,,
1882-04-01,27.314,India,,,,,,,
1882-05-01,28.806,India,,,,,,,
1882-06-01,27.966,India,,,,,,,
1882-07-01,25.87,India,,,,,,,
1882-08-01,25.854,India,,,,,,,
1882-09-01,25.64,India,,,,,,,
1882-10-01,23.831,India,,,,,,,
1882-11-01,19.63,India,,,,,,,
1882-12-01,17.571,India,,,,,,,
1883-01-01,16.645,India,,,,,,,
1883-02-01,18.255,India,,,,,,,
1883-03-01,23.104,India,,,,,,,
1883-04-01,27.907,India,,,,,,,
1883-05-01,29.436,India,,,,,,,
1883-06-01,28.359,India,,,,,,,
1883-07-01,26.356,India,,,,,,,
1883-08-01,26.535,India,,,,,,,
1883-09-01,25.592,India,,,,,,,
1883-10-01,23.517,India,,,,,,,
1883-11-01,19.064,India,,,,,,,
1883-12-01,15.32,India,,,,,,,
1884-01-01,16.231,India,,,,,,,
1884-02-01,18.258,India,,,,,,,
1884-03-01,24.038,India,,,,,,,
1884-04-01,27.013,India,,,,,,,
1884-05-01,29.532,India,,,,,,,
1884-06-01,28.623,India,,,,,,,
1884-07-01,26.527,India,,,,,,,
1884-08-01,25.842,India,,,,,,,
1884-09-01,25.247,India,,,,,,,
1884-10-01,22.723,India,,,,,,,
1884-11-01,18.692,India,,,,,,,
1884-12-01,16.162,India,,,,,,,
1885-01-01,16.816,India,,,,,,,
1885-02-01,17.399,India,,,,,,,
1885-03-01,23.56,India,,,,,,,
1885-04-01,26.719,India,,,,,,,
1885-05-01,28.011,India,,,,,,,
1885-06-01,28.453,India,,,,,,,
1885-07-01,26.602,India,,,,,,,
1885-08-01,25.976,India,,,,,,,
1885-09-01,25.81,India,,,,,,,
1885-10-01,24.144,India,,,,,,,
1885-11-01,20.33,India,,,,,,,
1885-12-01,16.859,India,,,,,,,
1886-01-01,16.46,India,,,,,,,
1886-02-01,18.399,India,,,,,,,
1886-03-01,23.481,India,,,,,,,
1886-04-01,27.305,India,,,,,,,
1886-05-01,29.333,India,,,,,,,
1886-06-01,28.286,India,,,,,,,
1886-07-01,26.298,India,,,,,,,
1886-08-01,25.924,India,,,,,,,
1886-09-01,26.031,India,,,,,,,
1886-10-01,24.463,India,,,,,,,
1886-11-01,20.621,India,,,,,,,
1886-12-01,17.137,India,,,,,,,
1887-01-01,16.279,India,,,,,,,
1887-02-01,18.518,India,,,,,,,
1887-03-01,23.784,India,,,,,,,
1887-04-01,27.448,India,,,,,,,
1887-05-01,30.062,India,,,,,,,
1887-06-01,28.087,India,,,,,,,
1887-07-01,25.998,India,,,,,,,
1887-08-01,25.397,India,,,,,,,
1887-09-01,25.331,India,,,,,,,
1887-10-01,23.379,India,,,,,,,
1887-11-01,19.978,India,,,,,,,
1887-12-01,16.805,India,,,,,,,
1888-01-01,15.716,India,,,,,,,
1888-02-01,18.912,India,,,,,,,
1888-03-01,24.513,India,,,,,,,
1888-04-01,27.886,India,,,,,,,
1888-05-01,29.386,India,,,,,,,
1888-06-01,29.188,India,,,,,,,
1888-07-01,26.423,India,,,,,,,
1888-08-01,25.681,India,,,,,,,
1888-09-01,25.871,India,,,,,,,
1888-10-01,23.928,India,,,,,,,
1888-11-01,20.342,India,,,,,,,
1888-12-01,16.586,India,,,,,,,
1889-01-01,17.616,India,,,,,,,
1889-02-01,19.321,India,,,,,,,
1889-03-01,24.723,India,,,,,,,
1889-04-01,28.13,India,,,,,,,
1889-05-01,30.025,India,,,,,,,
1889-06-01,28.727,India,,,,,,,
1889-07-01,26.822,India,,,,,,,
1889-08-01,26.025,India,,,,,,,
1889-09-01,26.049,India,,,,,,,
1889-10-01,23.428,India,,,,,,,
1889-11-01,19.834,India,,,,,,,
1889-12-01,17.158,India,,,,,,,
1890-01-01,17.122,India,,,,,,,
1890-02-01,19.845,India,,,,,,,
1890-03-01,23.896,India,,,,,,,
1890-04-01,27.79,India,,,,,,,
1890-05-01,29.95,India,,,,,,,
1890-06-01,28.113,India,,,,,,,
1890-07-01,25.692,India,,,,,,,
1890-08-01,25.275,India,,,,,,,
1890-09-01,25.557,India,,,,,,,
1890-10-01,23.61,India,,,,,,,
1890-11-01,20.016,India,,,,,,,
1890-12-01,17.515,India,,,,,,,
1891-01-01,16.583,India,,,,,,,
1891-02-01,18.055,India,,,,,,,
1891-03-01,22.014,India,,,,,,,
1891-04-01,27.375,India,,,,,,,
1891-05-01,29.183,India,,,,,,,
1891-06-01,29.954,India,,,,,,,
1891-07-01,27.32,India,,,,,,,
1891-08-01,26.023,India,,,,,,,
1891-09-01,25.934,India,,,,,,,
1891-10-01,23.631,India,,,,,,,
1891-11-01,20.453,India,,,,,,,
1891-12-01,17.246,India,,,,,,,
1892-01-01,17.621,India,,,,,,,
1892-02-01,19.994,India,,,,,,,
1892-03-01,24.809,India,,,,,,,
1892-04-01,29.378,India,,,,,,,
1892-05-01,30.172,India,,,,,,,
1892-06-01,28.556,India,,,,,,,
1892-07-01,26.768,India,,,,,,,
1892-08-01,25.578,India,,,,,,,
1892-09-01,25.382,India,,,,,,,
1892-10-01,23.693,India,,,,,,,
1892-11-01,19.384,India,,,,,,,
1892-12-01,16.543,India,,,,,,,
1893-01-01,15.643,India,,,,,,,
1893-02-01,16.57,India,,,,,,,
1893-03-01,21.431,India,,,,,,,
1893-04-01,27.218,India,,,,,,,
1893-05-01,28.666,India,,,,,,,
1893-06-01,27.484,India,,,,,,,
1893-07-01,25.981,India,,,,,,,
1893-08-01,25.967,India,,,,,,,
1893-09-01,25.164,India,,,,,,,
1893-10-01,23.474,India,,,,,,,
1893-11-01,20.213,India,,,,,,,
1893-12-01,16.867,India,,,,,,,
1894-01-01,16.849,India,,,,,,,
1894-02-01,19.819,India,,,,,,,
1894-03-01,23.497,India,,,,,,,
1894-04-01,27.478,India,,,,,,,
1894-05-01,30.165,India,,,,,,,
1894-06-01,28.334,India,,,,,,,
1894-07-01,26.176,India,,,,,,,
1894-08-01,25.688,India,,,,,,,
1894-09-01,25.646,India,,,,,,,
1894-10-01,23.942,India,,,,,,,
1894-11-01,19.677,India,,,,,,,
1894-12-01,17.029,India,,,,,,,
1895-01-01,16.557,India,,,,,,,
1895-02-01,19.108,India,,,,,,,
1895-03-01,23.521,India,,,,,,,
1895-04-01,26.867,India,,,,,,,
1895-05-01,30.519,India,,,,,,,
1895-06-01,28.625,India,,,,,,,
1895-07-01,26.814,India,,,,,,,
1895-08-01,25.9,India,,,,,,,
1895-09-01,26.143,India,,,,,,,
1895-10-01,23.662,India,,,,,,,
1895-11-01,21.269,India,,,,,,,
1895-12-01,16.616,India,,,,,,,
1896-01-01,16.9,India,,,,,,,
1896-02-01,19.769,India,,,,,,,
1896-03-01,24.66,India,,,,,,,
1896-04-01,28.822,India,,,,,,,
1896-05-01,30.707,India,,,,,,,
1896-06-01,28.757,India,,,,,,,
1896-07-01,27.2,India,,,,,,,
1896-08-01,26.02,India,,,,,,,
1896-09-01,26.452,India,,,,,,,
1896-10-01,24.853,India,,,,,,,
1896-11-01,21.296,India,,,,,,,
1896-12-01,17.417,India,,,,,,,
1897-01-01,17.445,India,,,,,,,
1897-02-01,19.908,India,,,,,,,
1897-03-01,23.659,India,,,,,,,
1897-04-01,27.817,India,,,,,,,
1897-05-01,30.695,India,,,,,,,
1897-06-01,29.702,India,,,,,,,
1897-07-01,27.681,India,,,,,,,
1897-08-01,26.355,India,,,,,,,
1897-09-01,26.106,India,,,,,,,
1897-10-01,24.127,India,,,,,,,
1897-11-01,20.43,India,,,,,,,
1897-12-01,16.709,India,,,,,,,
1898-01-01,16.897,India,,,,,,,
1898-02-01,18.688,India,,,,,,,
1898-03-01,23.92,India,,,,,,,
1898-04-01,28.917,India,,,,,,,
1898-05-01,30.043,India,,,,,,,
1898-06-01,29.207,India,,,,,,,
1898-07-01,26.681,India,,,,,,,
1898-08-01,26.133,India,,,,,,,
1898-09-01,25.725,India,,,,,,,
1898-10-01,24.304,India,,,,,,,
1898-11-01,20.619,India,,,,,,,
1898-12-01,17.632,India,,,,,,,
1899-01-01,15.345,India,,,,,,,
1899-02-01,19.528,India,,,,,,,
1899-03-01,24.715,India,,,,,,,
1899-04-01,27.011,India,,,,,,,
1899-05-01,29.985,India,,,,,,,
1899-06-01,28.529,India,,,,,,,
1899-07-01,26.958,India,,,,,,,
1899-08-01,27.312,India,,,,,,,
1899-09-01,26.907,India,,,,,,,
1899-10-01,24.852,India,,,,,,,
1899-11-01,20.945,India,,,,,,,
1899-12-01,17.974,India,,,,,,,
01-01-1900,17.385,India,,,,,,,
01-02-1900,20.05,India,,,,,,,
01-03-1900,24.958,India,,,,,,,
01-04-1900,27.672,India,,,,,,,
01-05-1900,29.772,India,,,,,,,
01-06-1900,29.928,India,,,,,,,
01-07-1900,27.609,India,,,,,,,
01-08-1900,26.493,India,,,,,,,
01-09-1900,25.643,India,,,,,,,
01-10-1900,23.674,India,,,,,,,
01-11-1900,21.122,India,,,,,,,
01-12-1900,18.108,India,,,,,,,
01-01-1901,16.172,India,,,,,,,
01-02-1901,18.506,India,,,,,,,
01-03-1901,23.703,India,,,,,,,
01-04-1901,27.474,India,,,,,,,
01-05-1901,29.787,India,,,,,,,
01-06-1901,29.944,India,,,,,,,
01-07-1901,27.522,India,,,,,,,
01-08-1901,26.179,India,,,,,,,
01-09-1901,26.296,India,,,,,,,
01-10-1901,25.146,India,,,,,,,
01-11-1901,20.879,India,,,,,,,
01-12-1901,17.403,India,,,,,,,
01-01-1902,17.719,India,,,,,,,
01-02-1902,19.867,India,,,,,,,
01-03-1902,25.17,India,,,,,,,
01-04-1902,27.848,India,,,,,,,
01-05-1902,30.26,India,,,,,,,
01-06-1902,29.534,India,,,,,,,
01-07-1902,27.214,India,,,,,,,
01-08-1902,26.967,India,,,,,,,
01-09-1902,25.887,India,,,,,,,
01-10-1902,24.213,India,,,,,,,
01-11-1902,20.255,India,,,,,,,
01-12-1902,16.89,India,,,,,,,
01-01-1903,16.939,India,,,,,,,
01-02-1903,18.644,India,,,,,,,
01-03-1903,22.983,India,,,,,,,
01-04-1903,27.185,India,,,,,,,
01-05-1903,29.496,India,,,,,,,
01-06-1903,29.878,India,,,,,,,
01-07-1903,27.564,India,,,,,,,
01-08-1903,26.195,India,,,,,,,
01-09-1903,26.061,India,,,,,,,
01-10-1903,24.075,India,,,,,,,
01-11-1903,19.707,India,,,,,,,
01-12-1903,16.482,India,,,,,,,
01-01-1904,16.723,India,,,,,,,
01-02-1904,19.177,India,,,,,,,
01-03-1904,23.349,India,,,,,,,
01-04-1904,28.047,India,,,,,,,
01-05-1904,29.465,India,,,,,,,
01-06-1904,28.616,India,,,,,,,
01-07-1904,26.408,India,,,,,,,
01-08-1904,26.085,India,,,,,,,
01-09-1904,25.904,India,,,,,,,
01-10-1904,24.244,India,,,,,,,
01-11-1904,19.988,India,,,,,,,
01-12-1904,17.096,India,,,,,,,
01-01-1905,15.754,India,,,,,,,
01-02-1905,16.043,India,,,,,,,
01-03-1905,21.969,India,,,,,,,
01-04-1905,25.546,India,,,,,,,
01-05-1905,30.149,India,,,,,,,
01-06-1905,30.124,India,,,,,,,
01-07-1905,27.231,India,,,,,,,
01-08-1905,26.637,India,,,,,,,
01-09-1905,26.23,India,,,,,,,
01-10-1905,24.48,India,,,,,,,
01-11-1905,21.126,India,,,,,,,
01-12-1905,16.891,India,,,,,,,
01-01-1906,16.315,India,,,,,,,
01-02-1906,18.395,India,,,,,,,
01-03-1906,22.443,India,,,,,,,
01-04-1906,27.78,India,,,,,,,
01-05-1906,30.947,India,,,,,,,
01-06-1906,28.841,India,,,,,,,
01-07-1906,27.041,India,,,,,,,
01-08-1906,26.192,India,,,,,,,
01-09-1906,25.791,India,,,,,,,
01-10-1906,24.247,India,,,,,,,
01-11-1906,21.004,India,,,,,,,
01-12-1906,17.661,India,,,,,,,
01-01-1907,17.669,India,,,,,,,
01-02-1907,18.583,India,,,,,,,
01-03-1907,22.283,India,,,,,,,
01-04-1907,25.785,India,,,,,,,
01-05-1907,28.962,India,,,,,,,
01-06-1907,28.919,India,,,,,,,
01-07-1907,27.661,India,,,,,,,
01-08-1907,25.709,India,,,,,,,
01-09-1907,26.164,India,,,,,,,
01-10-1907,24.728,India,,,,,,,
01-11-1907,21.125,India,,,,,,,
01-12-1907,16.537,India,,,,,,,
01-01-1908,16.417,India,,,,,,,
01-02-1908,19.246,India,,,,,,,
01-03-1908,23.22,India,,,,,,,
01-04-1908,28.495,India,,,,,,,
01-05-1908,29.963,India,,,,,,,
01-06-1908,29.695,India,,,,,,,
01-07-1908,26.375,India,,,,,,,
01-08-1908,25.649,India,,,,,,,
01-09-1908,25.751,India,,,,,,,
01-10-1908,24.058,India,,,,,,,
01-11-1908,19.831,India,,,,,,,
01-12-1908,16.203,India,,,,,,,
01-01-1909,16.949,India,,,,,,,
01-02-1909,18.947,India,,,,,,,
01-03-1909,24.33,India,,,,,,,
01-04-1909,26.163,India,,,,,,,
01-05-1909,29.56,India,,,,,,,
01-06-1909,28.083,India,,,,,,,
01-07-1909,26.132,India,,,,,,,
01-08-1909,25.887,India,,,,,,,
01-09-1909,25.544,India,,,,,,,
01-10-1909,24.164,India,,,,,,,
01-11-1909,20.99,India,,,,,,,
01-12-1909,17.183,India,,,,,,,
01-01-1910,16.613,India,,,,,,,
01-02-1910,19.175,India,,,,,,,
01-03-1910,23.656,India,,,,,,,
01-04-1910,27.272,India,,,,,,,
01-05-1910,29.873,India,,,,,,,
01-06-1910,28.268,India,,,,,,,
01-07-1910,26.461,India,,,,,,,
